City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,63.37,72,84,8.59,broken clouds
1,Meulaboh,ID,4.1363,96.1285,74.1,93,100,5.48,overcast clouds
2,Atar,MR,20.5169,-13.0499,76.57,15,0,6.17,clear sky
3,College,US,64.8569,-147.8028,12.2,83,100,10.36,light snow
4,Ancud,CL,-41.8697,-73.8203,55.83,85,93,2.46,overcast clouds
5,Thompson,CA,55.7435,-97.8558,26.76,93,100,3.44,light shower snow
6,Chuy,UY,-33.6971,-53.4616,63.36,60,72,10.76,broken clouds
7,Dicabisagan,PH,17.0818,122.4157,77.23,89,100,8.61,light rain
8,Gold Coast,AU,-28.0,153.4333,83.16,69,100,18.41,overcast clouds
9,Kapaa,US,22.0752,-159.319,84.18,71,66,7.0,broken clouds
10,Busselton,AU,-33.65,115.3333,63.77,56,65,18.01,broken clouds
11,Sotouboua,TG,8.5667,0.9833,75.61,22,5,3.09,clear sky
12,Hambantota,LK,6.1241,81.1185,73.47,80,90,5.17,overcast clouds
13,Fortuna,US,40.5982,-124.1573,49.66,83,100,9.22,overcast clouds
14,Geraldton,AU,-28.7667,114.6,82.81,21,0,16.11,clear sky
15,Pangody,RU,65.85,74.4859,-17.32,97,98,3.62,overcast clouds
16,Rikitea,PF,-23.1203,-134.9692,76.1,78,2,21.12,clear sky
17,Saint-Philippe,RE,-21.3585,55.7679,72.99,85,32,9.51,light rain
18,Lekoni,GA,-1.5843,14.2591,70.11,89,100,3.24,overcast clouds
19,Nelson Bay,AU,-32.7167,152.15,73.99,39,0,11.99,clear sky
20,Ushuaia,AR,-54.8,-68.3,49.66,53,100,6.91,light intensity drizzle
21,Jardim,BR,-21.4803,-56.1381,80.96,60,71,3.94,broken clouds
22,Muros,ES,42.7762,-9.0603,61.68,93,99,11.01,overcast clouds
23,Manicore,BR,-5.8092,-61.3003,82.35,83,0,1.14,clear sky
24,Longyearbyen,SJ,78.2186,15.6401,3.69,77,98,8.01,overcast clouds
25,Bure,ET,10.7,37.0667,56.34,65,46,4.09,scattered clouds
26,Port Alfred,ZA,-33.5906,26.891,68.18,90,99,5.99,overcast clouds
27,Narsaq,GL,60.9167,-46.05,10.15,61,2,8.32,clear sky
28,Broome,US,42.2506,-75.833,24.98,97,70,3.18,broken clouds
29,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,94,95,8.48,overcast clouds
30,Mataura,NZ,-46.1927,168.8643,75.97,39,66,4.12,broken clouds
31,Maniitsoq,GL,65.4167,-52.9,17.92,54,99,7.52,overcast clouds
32,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,78,100,20.71,overcast clouds
33,Grand Gaube,MU,-20.0064,57.6608,77.38,70,11,10.0,light rain
34,Kuala Terengganu,MY,5.3302,103.1408,81.99,83,40,9.22,scattered clouds
35,Luderitz,NA,-26.6481,15.1594,63.77,89,24,3.53,few clouds
36,Klaksvik,FO,62.2266,-6.589,32.92,56,100,26.62,overcast clouds
